filename	status	image
001.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F001.tif/info.json
002.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F002.tif/info.json
003.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F003.tif/info.json
004.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F004.tif/info.json
005.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F005.tif/info.json
006.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F006.tif/info.json
007.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F007.tif/info.json
008.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F008.tif/info.json
009.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F009.tif/info.json
010.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F010.tif/info.json
011.txt	default	https://iiif.adeac.jp/iiif/3/3310015100%2Fk000550%2F011.tif/info.json
